Index;Date;Model;Model_Short;Framework;Network;Resolution;Dataset;Custom_Parameters;Hardware;Hardware_Optimization;DetectionBoxes_Precision/mAP;DetectionBoxes_Precision/mAP@.50IOU;DetectionBoxes_Precision/mAP@.75IOU;DetectionBoxes_Precision/mAP (small);DetectionBoxes_Precision/mAP (medium);DetectionBoxes_Precision/mAP (large);DetectionBoxes_Recall/AR@1;DetectionBoxes_Recall/AR@10;DetectionBoxes_Recall/AR@100;DetectionBoxes_Recall/AR@100 (small);DetectionBoxes_Recall/AR@100 (medium);DetectionBoxes_Recall/AR@100 (large)
20210612143617_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-06-12 14:36:46;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];Inteli7dp3510_CPU;OVFP16;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210612144034_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-06-12 14:44:01;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];Inteli7dp3510_GPU;OVFP16;0.944059405940594;1.0;0.9603960396039604;-1.0;0.9;0.944059405940594;0.95;0.95;0.95;-1.0;0.9;0.95
20210612144450_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-06-12 14:45:25;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];Inteli7dp3510_CPU;OVFP32;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210612144951_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-06-12 14:51:22;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];Inteli7dp3510_GPU;OVFP32;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210612145138_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-06-12 14:51:50;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];Inteli7dp3510_CPU;OVFP16;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210612145323_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-06-12 14:54:52;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];Inteli7dp3510_GPU;OVFP16;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210612145507_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-06-12 14:55:19;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];Inteli7dp3510_CPU;OVFP32;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210612145653_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-06-12 14:58:19;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];Inteli7dp3510_GPU;OVFP32;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
