Index;Model;Model_Short;Framework;Network;Resolution;Dataset;Custom_Parameters;Hardware;Hardware_Optimization;Batch_Size;Throughput;Mean_Latency;Latencies;DetectionBoxes_Precision/mAP;DetectionBoxes_Precision/mAP@.50IOU;DetectionBoxes_Precision/mAP@.75IOU;DetectionBoxes_Precision/mAP (small);DetectionBoxes_Precision/mAP (medium);DetectionBoxes_Precision/mAP (large);DetectionBoxes_Recall/AR@1;DetectionBoxes_Recall/AR@10;DetectionBoxes_Recall/AR@100;DetectionBoxes_Recall/AR@100 (small);DetectionBoxes_Recall/AR@100 (medium);DetectionBoxes_Recall/AR@100 (large)
20210612143617_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];Inteli7dp3510_CPU;OVFP16;1;39.12;25.56;;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210612144034_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];Inteli7dp3510_GPU;OVFP16;1;30.67;32.61;;0.9440594059405941;1.0;0.9603960396039604;-1.0;0.9;0.9440594059405941;0.95;0.95;0.95;-1.0;0.9;0.95
20210612144450_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];Inteli7dp3510_CPU;OVFP32;1;33.83;29.56;;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210612144951_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];Inteli7dp3510_GPU;OVFP32;1;24.06;41.57;;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210612145138_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];Inteli7dp3510_CPU;OVFP16;1;107.88;9.27;;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210612145323_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];Inteli7dp3510_GPU;OVFP16;1;82.87;12.07;;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210612145507_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];Inteli7dp3510_CPU;OVFP32;1;109.72;9.11;;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210612145653_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];Inteli7dp3510_GPU;OVFP32;1;68.2;14.66;;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
